# event exchanged matrix data (local)
# receiving LP, sending LP, num of events sent, minimum timestamp delta, maximum timestamp delta, average timestamp delta, variance of ave delta
0,0,53,5,94,1122.7735849056603,268419.02467343974
1,1,50,10,94,1130.78,237135.52204081631
2,2,47,6,99,1088.7234042553196,172365.46530989834
3,3,46,28,88,952.9782608695652,136250.59951690823
4,4,52,4,98,1136.7692307692312,240077.2398190046
5,5,52,2,96,1180.3269230769235,290900.302790347
6,6,52,1,91,944.4038461538464,197983.6572398191
7,7,49,1,86,944.8163265306122,169949.06972789115
8,8,56,5,99,1136.482142857143,240020.43603896102
9,9,49,8,99,1196.9387755102043,304678.30867346947
10,10,51,5,94,1153.6274509803918,238844.67843137254
11,11,56,1,90,1278.5714285714287,365904.64935064944
12,12,47,6,94,1077.4893617021278,192754.8205365402
13,13,45,1,95,1114.2888888888892,272560.8919191921
14,14,57,9,95,1469.3684210526317,412494.30827067693
15,15,44,9,83,995.3636363636365,164018.74841437637
16,16,49,5,99,958.3265306122449,132163.51615646263
17,17,52,4,98,1264.25,265459.83823529404
18,18,48,1,100,1098.2916666666667,211903.65780141854
19,19,49,1,87,986.0408163265307,192597.41496598642
20,20,50,1,89,1143.5,246071.9693877551
21,21,49,6,96,1286.2653061224487,335144.3239795919
22,22,50,5,95,1092.7999999999997,276378.8979591836
23,23,55,1,91,1281.490909090909,321432.1804713804
24,24,52,7,97,1109.4230769230771,232386.79788838624
25,25,52,1,100,1080.0769230769233,184801.52337858223
26,26,47,2,99,1109.6808510638298,232305.87419056427
27,27,44,1,100,1143.2272727272727,209064.50528541234
28,28,51,2,93,1136.058823529412,228140.89647058828
29,29,46,4,97,977.2173913043478,171165.99613526568
30,30,51,1,94,1116.2549019607845,246720.5137254903
31,31,50,1,93,968.1399999999999,152765.061632653
32,32,45,1,100,1001.3333333333335,152206.59090909094
33,33,57,3,99,1228.2807017543862,315386.776942356
34,34,52,2,94,1201.884615384615,244048.49622926084
35,35,51,2,88,1078.686274509804,233489.1396078431
36,36,49,6,95,1199.2244897959185,262666.5527210885
37,37,49,2,96,1018.8367346938776,166553.05612244896
38,38,50,11,95,1326.4599999999998,330828.7024489795
39,39,52,2,96,1174.1538461538462,265212.91704374057
40,40,49,2,92,995.9183673469387,160042.45153061222
41,41,47,8,90,1204.1914893617022,216080.5494912119
42,42,49,3,94,1041.6122448979593,155481.61734693882
43,43,58,4,100,1084.7241379310344,230642.86993345432
44,44,54,2,97,897.5925925925927,146487.60447239695
45,45,49,1,96,1070.8571428571431,195606.41666666674
46,46,47,3,82,1016.9148936170213,190799.38390379283
47,47,47,11,94,1108.8723404255318,243014.59204440328
48,48,46,3,100,953.2173913043478,175752.12946859899
49,49,50,14,95,1206.8200000000004,261835.0077551022
50,50,53,6,86,1116.3584905660375,307505.54208998545
51,51,51,13,76,1071.0588235294117,235589.49647058826
52,52,49,3,95,1367.0612244897954,372124.85034013586
53,53,50,3,96,1170.7799999999997,256089.11387755102
54,54,46,3,100,1264.6086956521738,326833.75458937197
55,55,43,1,95,873.6511627906978,137488.56589147288
56,56,58,2,82,1076.3620689655172,252879.46309739866
57,57,48,1,97,891.1874999999999,159315.4747340425
58,58,47,3,90,965.4468085106382,247138.55689176687
59,59,45,3,87,1018.0444444444445,183982.2707070707
60,60,47,2,99,1205.4255319148938,209138.7280296023
61,61,49,3,75,949.0408163265305,213113.45663265305
62,62,51,3,96,1299.4313725490197,313507.3301960785
63,63,47,2,85,1015.5106382978724,197192.90749306203
64,64,52,2,98,1221.096153846154,298294.51998491725
65,65,48,5,87,1076.0833333333333,224930.37588652477
66,66,46,4,95,1109.4347826086955,196439.7178743961
67,67,50,5,90,1203.82,242992.8853061225
68,68,51,12,93,1180.3529411764705,248603.9529411765
69,69,53,4,93,988.0943396226415,172404.5870827286
70,70,50,3,91,968.7399999999998,199127.86979591823
71,71,48,1,87,1125.1875,299442.58111702127
72,72,50,1,84,908.02,266959.7342857143
73,73,43,3,98,934.1395348837209,178353.83720930235
74,74,52,2,96,1154.153846153846,287850.0542986425
75,75,48,2,92,1284.9583333333333,322914.5514184397
76,76,55,6,98,1104.2363636363636,277032.77643097646
77,77,52,1,99,1340.8461538461538,351462.52488687774
78,78,52,1,76,1000.7499999999998,269004.2303921568
79,79,52,3,99,1470.0384615384617,442547.13574660633
80,80,47,2,94,1071.914893617021,184546.3404255319
