# event exchanged matrix data (remote)
# receiving LP, sending LP, num of events sent, minimum timestamp delta, maximum timestamp delta, average timestamp delta, variance of ave delta
0,1,5,27,59,123.6,2469.8
0,49,2,2,32,18,512
0,50,2,24,33,40.5,544.5
0,2450,5,6,74,108,572
1,0,4,1,57,93,2128.6666666666665
1,2,4,14,74,119.99999999999999,2000.666666666666
1,51,3,21,64,110.33333333333333,1720.3333333333333
1,2451,1,3,3,3,NaN
2,1,1,1,1,1,NaN
2,3,2,2,35,36,2
2,52,2,6,39,42,18
2,2452,2,49,88,112.5,1200.5
3,2,2,59,77,106.5,1740.5
3,4,3,1,35,45.333333333333336,290.33333333333337
3,53,3,58,65,122.66666666666667,3786.3333333333335
3,2453,1,16,16,16,NaN
4,5,6,4,61,154.16666666666666,3424.9666666666662
4,54,4,7,81,137.25,1558.9166666666667
4,2454,4,5,63,111.99999999999999,1731.3333333333328
5,4,1,67,67,67,NaN
5,6,1,45,45,45,NaN
5,55,3,9,49,46.66666666666667,974.3333333333335
5,2455,1,39,39,39,NaN
6,5,4,27,83,163,4008.666666666668
6,7,4,16,65,104.25,1848.916666666667
6,56,3,10,41,69.66666666666667,641.3333333333335
6,2456,2,66,92,125,2178
7,6,3,4,76,88.66666666666667,124.33333333333337
7,8,7,5,52,119.42857142857142,2610.9523809523803
7,57,3,18,38,55.33333333333333,1406.3333333333333
7,2457,2,15,33,40.5,112.5
8,7,5,16,54,79.2,2922.2000000000003
8,9,4,2,65,95.5,1697.6666666666667
8,58,4,12,75,120.75,1242.25
8,2458,4,31,64,112.50000000000001,1772.333333333334
9,8,2,5,62,64.5,12.5
9,10,3,2,35,38.666666666666664,22.33333333333333
9,59,4,11,47,57.5,1111
9,2459,4,18,79,148.5,2948.333333333334
10,9,4,15,56,96.75,1764.916666666667
10,11,4,5,67,92.5,2293.6666666666665
10,60,1,30,30,30,NaN
10,2460,4,4,42,50.5,1193.6666666666667
11,10,5,7,81,136.6,1306.3000000000002
11,12,2,3,15,10.5,112.5
11,61,5,4,74,133,1123.5
11,2461,6,14,73,121.83333333333333,3349.3666666666663
12,11,1,72,72,72,NaN
12,13,4,4,87,135.25,4432.916666666667
12,62,8,3,52,108.12499999999999,6814.98214285714
12,2462,3,35,86,123.33333333333333,1486.3333333333333
13,12,2,1,17,9.5,144.5
13,14,2,27,33,43.5,544.5
13,63,5,4,54,120,1804
13,2463,2,11,61,66.5,60.5
14,13,4,7,24,42.25,185.5833333333333
14,15,3,2,81,85.66666666666667,41.33333333333335
14,64,5,19,52,116.8,3072.7
14,2464,4,1,63,69.25,44.91666666666666
15,14,2,69,95,129.5,2380.5
15,16,6,5,27,49.5,654.7
15,65,4,21,53,112.25,2054.25
15,2465,4,3,44,71.25,1769.5833333333333
16,15,5,4,90,129.2,749.1999999999998
16,17,6,3,83,136.5,1523.5
16,66,3,32,67,103,1228
16,2466,3,18,84,130,1668
17,16,5,3,43,48.8,1982.1999999999998
17,18,1,7,7,7,NaN
17,2467,5,5,38,88.8,1476.7
18,17,2,16,58,66,128
18,19,6,8,33,84.16666666666667,1713.7666666666669
18,68,4,24,72,142.5,3689
18,2468,3,6,96,114.33333333333333,714.3333333333333
19,18,6,4,77,187.66666666666669,4744.266666666667
19,20,3,9,57,66.66666666666667,90.33333333333337
19,69,4,5,47,86.5,1824.3333333333333
19,2469,4,5,60,107.5,1060.3333333333335
20,19,2,20,61,71,200
20,21,3,2,52,67.33333333333333,177.3333333333333
20,70,2,49,87,111.5,1200.5
20,2470,3,1,38,41.333333333333336,24.33333333333334
21,20,5,2,49,93.8,780.6999999999999
21,22,4,1,53,58.75,69.58333333333333
21,2471,4,20,68,133.75,2678.9166666666665
22,21,2,21,88,98.5,220.5
22,23,1,23,23,23,NaN
22,72,3,16,48,66.33333333333333,384.33333333333326
22,2472,2,31,39,50.5,760.5
23,22,5,2,85,139.8,2545.2000000000003
23,24,6,3,39,82.16666666666666,1533.7666666666664
23,73,6,3,51,108.5,2716.3
23,2473,3,4,47,44,1369
24,23,3,2,36,28.666666666666664,549.3333333333333
24,25,2,3,9,10.5,4.5
24,74,1,8,8,8,NaN
24,2474,5,9,69,133.4,2498.3
25,24,7,5,61,96.71428571428571,4425.2380952380945
25,26,3,7,65,90.66666666666667,506.3333333333334
25,75,5,1,60,97.4,784.8000000000001
25,2475,4,13,52,75,431.3333333333334
26,25,4,16,61,132.75,3452.9166666666665
26,27,1,17,17,17,NaN
26,76,1,54,54,54,NaN
26,2476,2,29,69,83.5,420.5
27,26,1,37,37,37,NaN
27,28,5,4,73,110.4,4948.3
27,77,3,1,47,70.66666666666667,752.3333333333335
27,2477,2,40,89,109,800
28,27,2,33,37,53.5,544.5
28,29,6,4,66,132,8467.6
28,78,3,6,18,32,156
28,2478,2,41,73,93.5,840.5
29,28,4,6,29,25.75,373.5833333333333
29,30,2,5,70,72.5,12.5
29,79,2,50,55,77.5,1512.5
29,2479,2,17,29,37.5,144.5
30,29,4,6,37,70,652
30,31,4,5,46,75.5,407.00000000000017
30,80,4,12,71,106.25,2116.25
30,2480,4,23,87,181,6558
31,30,2,19,27,36.5,180.5
31,32,5,11,36,69.4,897.8000000000001
31,81,4,1,97,134,1957.9999999999998
31,2481,5,2,35,76.4,1260.3000000000002
32,31,2,14,21,28,98
32,33,3,52,73,129,3376
32,82,2,40,93,113,800
32,2482,3,4,93,99.33333333333333,60.333333333333314
33,32,7,7,85,206.57142857142858,5230.285714285715
33,34,6,22,68,156.5,3452.3
33,83,5,49,71,172.6,8839.3
33,2483,3,2,18,21.666666666666668,22.333333333333336
34,33,1,26,26,26,NaN
34,35,4,33,96,216,8694
34,84,3,5,61,92,727
34,2484,4,15,85,136.25,1439.583333333333
35,34,7,7,52,115,3785.6666666666665
35,36,3,5,75,92.66666666666667,696.3333333333334
35,85,6,10,82,137.83333333333334,1826.9666666666667
35,2485,1,9,9,9,NaN
36,35,5,1,24,36,163.5
36,37,1,16,16,16,NaN
36,86,4,10,60,123.50000000000001,2635.6666666666674
36,2486,2,30,41,56,450
37,36,4,4,56,59.50000000000001,1062.3333333333337
37,38,1,15,15,15,NaN
37,87,5,12,94,159,3005.5
37,2487,3,8,62,73.33333333333333,112.33333333333329
38,37,3,11,65,84.66666666666667,320.3333333333334
38,39,4,14,60,93.75,3988.2499999999995
38,88,3,8,20,29.666666666666668,112.33333333333334
38,2488,2,3,42,43.5,4.5
39,38,4,17,73,136.75,2166.9166666666665
39,40,3,18,38,64,588
39,89,4,6,83,154.25,2712.25
39,2489,1,1,1,1,NaN
40,39,1,53,53,53,NaN
40,41,3,22,83,130.33333333333334,1801.3333333333337
40,90,2,6,66,69,18
40,2490,3,28,73,122,2719
41,40,4,12,78,126.50000000000001,2321.000000000001
41,91,5,2,83,177,3826
41,2491,2,8,14,15,98
42,41,2,10,73,46.5,2664.5
42,43,4,6,85,105.75,474.24999999999994
42,92,1,31,31,31,NaN
42,2492,5,15,93,143.8,1615.7000000000003
43,42,6,11,70,156.33333333333331,3571.4666666666662
43,44,4,8,29,37.5,683
43,93,4,11,66,82.5,3531.6666666666665
43,2493,5,11,44,103,2058
44,43,5,5,26,47.4,535.3000000000001
44,45,4,4,24,30.5,358.3333333333333
44,94,4,6,61,84.5,1961.6666666666667
44,2494,8,5,68,183.625,13128.839285714286
45,44,4,7,53,112,2252.6666666666665
45,46,1,30,30,30,NaN
45,95,3,8,74,92.66666666666667,277.33333333333337
45,2495,4,1,32,55,282.00000000000006
46,45,6,8,56,124,3540
46,47,3,6,29,31,679
47,46,3,1,73,78.66666666666667,80.33333333333336
47,48,6,15,71,118.33333333333334,2669.466666666667
47,97,3,6,58,96.66666666666667,1249.3333333333335
48,47,2,28,31,45,392
48,49,2,41,61,81.5,840.5
48,98,2,30,70,65,2450
48,2498,4,13,48,83.25,844.9166666666666
