# summary of local and remote events executed
# LP, local, remote, total
Airport_1875, 46, 9, 55
Airport_1250, 56, 16, 72
Airport_1876, 47, 9, 56
Airport_625, 54, 13, 67
Airport_1251, 46, 8, 54
Airport_1877, 45, 9, 54
Airport_626, 54, 14, 68
Airport_1252, 45, 8, 53
Airport_1878, 56, 14, 70
Airport_627, 53, 14, 67
Airport_1253, 51, 12, 63
Airport_1879, 49, 11, 60
Airport_628, 50, 11, 61
Airport_1880, 45, 11, 56
Airport_1254, 53, 14, 67
Airport_1881, 46, 11, 57
Airport_629, 52, 13, 65
Airport_1255, 47, 15, 62
Airport_1882, 51, 13, 64
Airport_630, 45, 16, 61
Airport_0, 53, 14, 67
Airport_1256, 48, 10, 58
Airport_1883, 49, 8, 57
Airport_631, 49, 8, 57
Airport_1, 50, 12, 62
Airport_1257, 48, 11, 59
Airport_1884, 41, 8, 49
Airport_632, 47, 18, 65
Airport_2, 47, 7, 54
Airport_1258, 51, 14, 65
Airport_1885, 49, 11, 60
Airport_633, 44, 11, 55
Airport_3, 46, 9, 55
Airport_1886, 53, 17, 70
Airport_1259, 53, 18, 71
Airport_634, 44, 9, 53
Airport_4, 52, 14, 66
Airport_1260, 42, 9, 51
Airport_1887, 51, 11, 62
Airport_635, 46, 9, 55
Airport_5, 52, 6, 58
Airport_1261, 44, 7, 51
Airport_1888, 54, 14, 68
Airport_636, 47, 11, 58
Airport_6, 52, 13, 65
Airport_1262, 48, 12, 60
Airport_1889, 55, 10, 65
Airport_637, 45, 9, 54
Airport_7, 49, 15, 64
Airport_1263, 48, 8, 56
Airport_1890, 48, 14, 62
Airport_638, 47, 17, 64
Airport_8, 56, 17, 73
Airport_1264, 50, 13, 63
Airport_1891, 52, 13, 65
Airport_639, 51, 13, 64
Airport_9, 49, 13, 62
Airport_1265, 47, 13, 60
Airport_1892, 51, 14, 65
Airport_640, 48, 9, 57
Airport_10, 51, 13, 64
Airport_1266, 49, 12, 61
Airport_1893, 45, 9, 54
Airport_641, 48, 8, 56
Airport_11, 56, 18, 74
Airport_1267, 46, 9, 55
Airport_1894, 47, 7, 54
Airport_642, 49, 17, 66
Airport_12, 47, 16, 63
Airport_1268, 50, 8, 58
Airport_1895, 51, 15, 66
Airport_643, 45, 17, 62
Airport_13, 45, 11, 56
Airport_1269, 52, 12, 64
Airport_1896, 49, 12, 61
Airport_644, 51, 8, 59
Airport_14, 57, 16, 73
Airport_1897, 48, 12, 60
Airport_645, 42, 15, 57
Airport_15, 44, 16, 60
Airport_1270, 57, 14, 71
Airport_1898, 47, 15, 62
Airport_646, 46, 10, 56
Airport_16, 49, 17, 66
Airport_1899, 46, 10, 56
Airport_1900, 43, 4, 47
Airport_1901, 45, 9, 54
Airport_647, 56, 16, 72
Airport_17, 52, 11, 63
Airport_648, 47, 13, 60
Airport_18, 48, 15, 63
Airport_1902, 48, 10, 58
Airport_19, 49, 17, 66
Airport_1903, 50, 14, 64
Airport_649, 52, 13, 65
Airport_20, 50, 10, 60
