# Total Events Processed Data (per LP)
# receiving LP, number of events processed, min timestamp delta, max timestamp delta, average timestamp delta, standard deviation.
0,67,1,94,31,23.743655869091658
1,62,1,94,33.274193548387096,24.661691171661563
2,54,1,99,31.555555555555557,27.741976929386578
3,55,1,88,31.454545454545453,23.26356353677897
4,66,1,98,32.63636363636363,26.253217040177717
5,58,2,96,34.827586206896555,23.26766139059523
6,65,1,92,31.4,25.254276104027642
7,64,1,86,28.71875,20.231835023978917
8,73,1,99,30.54794520547945,24.137188436950012
9,62,2,99,35.596774193548384,25.380624866744924
10,64,1,94,32.40625,24.07911358288548
11,74,1,90,33.5945945945946,26.253400767570543
12,63,3,94,34.22222222222222,25.826923594638902
13,56,1,95,35.55357142857143,27.088426391869923
14,73,1,95,34.97260273972603,28.360677292924745
15,60,1,95,32.61666666666667,23.721362851985454
16,66,1,99,29.575757575757574,25.955124796732488
17,63,1,98,32.61904761904762,27.627584887427602
18,63,1,100,34.36507936507937,26.709668653820394
19,66,1,87,30.863636363636363,24.755095198605297
20,60,1,89,33.56666666666667,24.063365424552643
21,62,1,96,36.61290322580645,25.283779601280315
22,58,1,95,33.3448275862069,23.768678117493874
23,75,1,91,32.53333333333333,25.34578641291071
24,63,1,97,29.952380952380953,24.137455956362746
25,71,1,100,29.309859154929576,25.732421347997295
26,55,1,99,35.872727272727275,27.108572643055215
27,55,1,100,38.2,27.11148699855335
28,64,1,93,32.671875,24.835744582846214
29,56,1,97,30.196428571428573,25.851512557887446
30,67,1,94,33.91044776119403,25.776728682875074
31,66,1,97,28.28787878787879,23.250132063173417
32,55,1,100,33.8,29.42256400668155
33,78,2,99,34.5,24.975244153217414
34,64,1,96,36.359375,28.093797796121745
35,68,2,88,31.264705882352942,22.733505751137994
36,61,1,95,34.032786885245905,25.401024384348247
37,62,2,96,30.370967741935484,25.546437079377082
38,62,2,95,37.17741935483871,25.230245669950918
39,64,1,96,34.65625,26.021156506533295
40,58,1,92,32.275862068965516,25.59484936294819
41,58,1,90,35.8448275862069,28.222515909830193
42,61,1,94,31.278688524590162,25.783544852585305
43,77,1,100,28.38961038961039,23.010531662277412
44,75,2,97,25.533333333333335,22.742226999326363
45,61,1,96,31.37704918032787,24.624500617005932
46,56,2,82,30.339285714285715,24.17959351078795
47,59,1,94,34.355932203389834,24.987293524716097
48,56,1,100,31.946428571428573,21.976789414270307
49,63,1,96,37.77777777777778,24.21952802840863
50,69,2,86,32.028985507246375,21.171467684087013
51,62,1,76,31.532258064516128,23.10405476348357
52,59,1,95,41.50847457627118,28.765782922851376
53,66,1,96,33.96969696969697,24.829704654737757
54,55,3,100,39.43636363636364,26.157400229702866
55,60,1,95,34.9,25.505358914026935
56,76,1,82,30.907894736842106,22.493377757382014
57,56,1,97,28.982142857142858,24.37467294390735
58,59,1,92,31.47457627118644,25.895065908002167
59,56,3,87,35.19642857142857,23.966807137951335
60,59,1,99,36.94915254237288,27.88622388084595
61,65,1,91,29.93846153846154,23.29930796138138
62,63,2,96,36.98412698412698,25.561933543064878
63,57,1,93,32.56140350877193,24.76557992269424
64,68,1,98,33.26470588235294,26.67981041418818
65,59,1,87,33,25.4977566311301
66,55,1,95,35.56363636363636,26.909115479104262
67,60,1,90,34.78333333333333,26.378710902712605
68,62,1,93,33.11290322580645,25.573489826260722
69,65,1,93,27.076923076923077,24.030946517616496
70,66,3,91,31.893939393939394,23.971023408879613
71,60,1,87,36.766666666666666,24.974898509414523
72,67,1,84,32.74626865671642,20.647245693646255
73,53,3,98,33.283018867924525,24.37937371190141
74,64,2,96,33.828125,21.436355426806465
75,57,1,92,40.12280701754386,25.046672346430064
76,69,1,98,29.782608695652176,21.871077828232888
77,68,1,99,36.01470588235294,28.023358243908525
78,66,1,76,30.636363636363637,23.775233079593153
79,67,2,99,40.61194029850746,28.024485681770837
80,52,1,94,31.384615384615383,25.891900906352525
81,56,1,94,39.392857142857146,25.667989077161966
82,62,1,100,31.56451612903226,24.333450339214746
83,55,1,94,32.81818181818182,26.42800918384674
84,70,1,89,32.128571428571426,23.729981896670857
85,66,1,78,29.196969696969695,22.14635868350541
86,66,1,89,29.060606060606062,21.377472416200607
87,60,1,93,32.5,25.645987340452827
88,51,2,97,32.19607843137255,23.274171165582437
89,59,2,92,34.610169491525426,25.051145614151906
90,69,1,96,35.63768115942029,25.585305460215704
91,65,1,99,32.52307692307692,26.786395911304677
92,62,3,98,30.806451612903224,23.100648440610726
93,72,1,98,32.986111111111114,22.651645179125236
94,68,2,99,38.01470588235294,27.28148081577923
95,61,1,98,33.85245901639344,25.789078934965747
96,60,2,100,37.93333333333333,29.018882741338537
97,64,1,98,33.640625,27.32808033158156
98,55,1,89,36.89090909090909,24.98484830108238
99,61,2,85,26.688524590163933,21.33076050507354
100,75,1,98,33.6,25.954832562228816
101,60,1,92,35.88333333333333,26.093480454362968
102,63,2,93,33.20634920634921,25.37787983824504
103,60,2,99,38.766666666666666,27.293080116070126
104,62,1,98,31.903225806451612,23.008911091013687
